date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-06-21,12.0685,33626973.61125,-158.102619,0.054451,-0.016907,1.306702,0.755912
2012-06-25,11.9389,33570968.147195,-136.208354,0.093533,-0.03658,1.21704,0.732051
2012-06-26,11.9389,33470653.58314,,0.080632,,1.214863,0.704534
2012-06-27,11.8698,33398550.944085,,0.132024,-0.071682,0.992816,0.630048
2012-06-28,11.8266,33335148.194875,,0.161531,-0.089507,1.091021,0.594644
2012-06-29,12.0253,33293473.133165,,0.13757,-0.064601,1.115687,0.554238
2012-07-02,13.3738,33258587.85505,,0.137167,-0.055133,1.101226,0.513476
2012-07-03,12.9299,33211321.69881,,0.177347,-0.102775,1.026755,0.45926
2012-07-04,12.3992,33130089.858975,,0.174116,-0.113878,0.798548,0.366157
2012-07-05,12.2737,33047382.003515,,0.18031,-0.102628,0.762267,0.274888
2012-07-06,12.679,32972972.063675,,0.083528,-0.064884,1.019146,0.213888
2012-07-09,12.2062,32870779.45196,,0.087778,-0.092549,1.159378,0.133099
2012-07-10,12.2834,32766830.277745,,0.087879,,1.180872,0.038525
2012-07-11,12.5343,32668228.99259,,0.078576,-0.059704,1.18594,-0.048625
2012-07-12,12.3413,32539413.69806,,0.055374,-0.071931,1.095775,-0.165868
2012-07-13,12.4571,32438038.33947,,0.064281,-0.079265,1.093207,-0.262608
2012-07-16,11.7527,32324322.765255,,0.053356,-0.132471,1.360269,-0.382684
2012-07-17,11.772,32212238.994165,,0.043539,-0.098184,1.382658,-0.485232
2012-07-18,11.5308,32096825.191825,,0.086977,-0.077108,1.324509,-0.613705
2012-07-19,11.6851,32014567.1012,,-0.016428,-0.05285,1.337904,-0.714244
2012-07-20,11.3667,31929647.38714,,-0.033804,-0.113693,1.374934,-0.780236
2012-07-23,11.193,31842625.7223,,-0.039784,-0.091527,1.436652,-0.851731
2012-07-24,11.2027,31765039.68246,-132.214784,-0.048902,-0.096953,1.642693,-0.927096
2012-07-25,11.222,31693075.91098,-113.787066,,-0.115137,1.593935,-0.996228
2012-07-26,11.1834,31619504.55356,-101.134963,-0.04631,-0.103341,1.578969,-1.03619
2012-07-27,11.2799,31548072.97192,-86.062685,-0.06221,-0.103989,1.639108,-1.09049
2012-07-30,11.5501,31500388.811375,-45.773023,-0.016214,-0.019087,1.57001,-1.12575
2012-07-31,11.4922,31474001.52739,-41.130223,-0.055133,-0.026311,1.576988,-1.157151
2012-08-01,11.7237,31483734.03403,-17.283951,-0.111902,0.018567,1.685908,-1.137167
2012-08-02,11.579,31495479.358635,-19.20439,-0.143151,-0.010062,1.686224,-1.071078
2012-08-03,11.6948,31497027.397305,-10.886401,-0.158256,0.032069,1.728341,-1.011431
2012-08-06,11.9553,31523560.885195,35.377283,-0.122506,0.075801,1.68585,-0.979389
2012-08-07,11.9457,31531843.6348,46.077875,-0.126409,0.073811,1.64767,-0.936999
2012-08-08,11.608,31516877.33675,69.16594,-0.116955,0.066973,1.673178,-0.904495
2012-08-09,11.6466,31527157.27073,68.127137,-0.091524,0.074914,1.553821,-0.888569
2012-08-10,11.5211,31512626.06096,73.363404,-0.107593,0.052321,1.75356,-0.830222
2012-08-13,11.1448,31508283.090255,-11.794872,-0.10661,-0.011119,1.741483,-0.784744
2012-08-14,11.3474,31503139.84299,-5.711236,-0.127656,0.013977,1.47897,-0.70354
2012-08-15,11.1641,31508926.00627,-17.353694,-0.14239,-0.02552,1.530919,-0.625742
2012-08-16,11.1737,31505798.816815,-28.239159,-0.138378,-0.011089,1.539861,-0.511013
2012-08-17,11.2123,31521544.060565,-30.95142,-0.127673,-0.018278,1.515747,-0.414631
2012-08-20,11.1834,31542271.24416,-60.946544,-0.19997,-0.044595,1.418655,-0.312821
2012-08-21,11.222,31559498.74221,-29.751063,-0.220027,-0.040171,1.375846,-0.211347
2012-08-22,11.2316,31578425.831275,-41.100324,-0.230792,-0.034971,1.363056,-0.091515
2012-08-23,11.1641,31598268.430495,-61.407132,-0.220116,-0.044675,1.340644,0.007898
2012-08-24,10.8746,31595056.49612,-154.63988,-0.259565,-0.060568,1.464894,0.095632
2012-08-27,10.4501,31561995.39065,-252.359315,-0.250321,-0.067466,1.612804,0.173799
2012-08-28,10.4694,31545372.35706,-243.854474,-0.22315,-0.083624,1.64378,0.206694
2012-08-29,10.0544,31501464.54691,-255.595524,-0.220171,-0.107557,1.76816,0.227164
2012-08-30,9.9194,31449961.91645,-222.016079,-0.201572,-0.121473,1.723961,0.211358
2012-08-31,9.5237,31368905.64224,-209.050258,-0.172756,-0.162912,1.748598,0.14664
2012-09-03,9.5237,31276091.278185,-178.25828,-0.164222,-0.160568,1.612021,0.075142
2012-09-04,8.9641,31161015.72585,-180.644261,-0.135677,-0.217634,1.749272,-0.017696
2012-09-05,8.636,31018743.75711,-186.572813,-0.139102,-0.249954,1.692814,-0.132915
2012-09-06,8.7132,30885768.9829,-153.607426,-0.15013,-0.237561,1.730061,-0.235323
2012-09-07,9.5816,30820625.81025,-88.502895,-0.168005,-0.128945,2.295987,-0.287645
2012-09-10,9.8615,30833970.47666,-35.173226,-0.18253,-0.061294,2.34321,-0.339799
2012-09-11,9.7167,30813539.545415,-50.144568,-0.223403,-0.078219,2.415636,-0.39236
2012-09-12,9.8229,30821979.66769,-31.265759,-0.201145,-0.025152,2.413828,-0.470229
2012-09-13,9.5237,30805898.724735,-46.077679,-0.203397,-0.043608,2.466659,-0.561855
2012-09-14,9.4369,30756841.30795,-53.138942,-0.214359,-0.010009,2.44318,-0.694598
2012-09-17,8.8676,30684240.285695,-95.066486,-0.184482,-0.075623,2.436537,-0.835248
2012-09-18,8.8965,30616800.424765,-101.396911,-0.167159,-0.008321,2.35758,-0.969861
2012-09-19,8.9062,30551637.74743,-91.684843,-0.159475,0.034688,2.354161,-1.101249
2012-09-20,8.6553,30479898.83416,-108.112549,-0.148711,-0.00736,2.23501,-1.240016
2012-09-21,8.6457,30411951.80839,-101.418302,,-0.107159,2.243156,-1.360777
2012-09-24,8.829,30377015.4834,-82.307605,-0.172743,-0.114537,2.285686,-1.466891
2012-09-25,8.8193,30324880.25294,-68.361787,-0.204604,-0.101175,2.335284,-1.564527
2012-09-26,8.6939,30278156.09435,-72.973216,-0.217391,-0.125779,2.28743,-1.629756
2012-09-27,9.0027,30266416.88732,-40.737013,-0.247595,-0.060053,2.094255,-1.691566
2012-09-28,9.2632,30307409.99279,7.61922,-0.230731,-0.02022,2.090949,-1.740288
2012-10-08,10.484,30334134.74045,18.282232,-0.229609,0.032483,2.040667,-1.739965
2012-10-09,10.7278,30407439.792795,34.875984,-0.220932,0.055143,2.004096,-1.725393
2012-10-10,10.7168,30502655.52014,30.601093,-0.296773,0.052682,1.918812,-1.664172
2012-10-11,10.6059,30569634.2553,24.070318,-0.296374,0.074147,1.874298,-1.555477
2012-10-12,10.4286,30559124.687335,6.663214,-0.294321,0.055679,1.883705,-1.459863
2012-10-15,10.1626,30470000.316245,-50.636704,-0.233661,0.002418,1.608713,-1.428627
2012-10-16,10.0851,30393014.882655,-66.80949,-0.195487,-0.004841,1.573429,-1.432631
2012-10-17,10.0851,30293157.475625,-70.342205,-0.216502,0.011067,1.572983,-1.428544
2012-10-18,10.3178,30230322.137345,-21.130481,-0.154517,-0.002366,1.59291,-1.421866
2012-10-19,10.5394,30216745.80844,66.807067,-0.184177,-0.010319,1.534014,-1.377572
2012-10-22,10.6059,30252040.779535,70.665345,-0.173598,0.012818,1.568252,-1.297874
2012-10-23,10.4286,30263813.81157,47.619048,-0.239663,-0.030675,1.36217,-1.191809
2012-10-24,10.4951,30275513.39673,40.256616,-0.213167,-0.022748,1.413753,-1.103141
2012-10-25,10.4397,30292795.592825,40.453484,-0.198618,-0.017257,1.405056,-1.007292
2012-10-26,10.1515,30309984.631105,-45.295748,-0.22431,-0.029301,1.436453,-0.916442
2012-10-29,10.0961,30300902.52407,-94.407078,-0.226751,-0.007236,1.432744,-0.827787
2012-10-30,10.0629,30291711.654535,-101.34954,-0.205532,-0.002432,1.400591,-0.756412
2012-10-31,9.9521,30278541.110785,-137.411656,-0.214041,-0.014595,1.356392,-0.700535
2012-11-01,10.1848,30257177.320945,-72.320397,-0.246479,-0.014231,1.377492,-0.65637
2012-11-02,10.2402,30216515.213135,-36.507937,-0.212449,-0.031279,1.388437,-0.603092
2012-11-05,10.3954,30201032.838915,4.349121,-0.205067,-0.021859,1.290911,-0.542506
2012-11-06,10.3954,30171110.313135,,-0.206986,,1.263376,-0.500405
2012-11-07,10.2735,30153381.931105,,-0.195577,-0.023277,1.295553,-0.463557
2012-11-08,10.0407,30138610.47564,,-0.21584,-0.042145,1.299498,-0.44764
2012-11-09,10.0075,30134259.65338,,-0.224067,-0.015697,1.30696,-0.456542
2012-11-12,10.1294,30149314.165885,,-0.234935,0.003644,1.358758,-0.440001
2012-11-13,10.0296,30172274.365105,,-0.259114,-0.003658,1.22021,-0.380487
2012-11-14,9.9964,30189736.708465,,-0.256735,0.004937,1.195846,-0.303204
2012-11-15,9.8745,30185040.94479,,-0.229573,-0.033686,1.194229,-0.226532
2012-11-16,9.9299,30164732.919395,,-0.225142,-0.033485,1.106531,-0.145775
2012-11-19,9.941,30132395.244,,-0.192667,-0.048224,1.086248,-0.104752
2012-11-20,9.8856,30108603.702195,,-0.187815,,1.079394,-0.077627
2012-11-21,10.0186,30081338.121715,,-0.205735,-0.027407,1.049461,-0.067225
2012-11-22,9.8523,30057892.16077,,-0.197909,-0.020777,1.078245,-0.063101
2012-11-23,9.8523,30044904.735765,,-0.205543,-0.017174,1.046599,-0.071275
2012-11-26,9.5309,30027007.11467,,-0.23044,-0.065359,1.067659,-0.088463
2012-11-27,9.2317,30009373.000605,,-0.230079,-0.088106,1.192116,-0.119553
2012-11-28,9.0876,29997221.546695,,-0.210739,-0.100712,1.211315,-0.140009
2012-11-29,9.0433,29965871.857625,,-0.185892,-0.093376,1.288299,-0.131281
2012-11-30,9.0322,29914032.931055,,-0.166466,-0.100223,1.098449,-0.140597
2012-12-03,8.4448,29836821.45058,,-0.123664,-0.166831,1.462731,-0.170328
2012-12-04,8.6665,29770871.334165,-170.450229,-0.095724,-0.136782,1.607783,-0.204332
2012-12-05,9.5309,29733743.964625,-61.978373,,-0.053908,2.327556,-0.199724
2012-12-06,9.5309,29704920.802895,0.0,-0.066726,-0.036196,2.325312,-0.183002
2012-12-07,9.8302,29722208.65796,36.676253,-0.027342,-0.002496,2.342862,-0.183276
2012-12-10,9.8523,29778517.931385,61.331198,0.009911,0.037555,2.27873,-0.196835
2012-12-11,9.7082,29825615.73528,32.890698,0.013494,0.057703,2.276409,-0.228835
2012-12-12,9.7747,29891683.515345,44.352386,-0.097216,0.084676,2.440763,-0.295695
2012-12-13,9.6085,29953047.980565,20.222447,-0.128452,0.070036,2.405139,-0.347111
